name	ri	minT(us)	maxT(us)	lam	my	cf	noifl	max_iter	n_iter	aRMS	rRMS	chi2	runtime(min)
L10	r000	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.03	25	8	1.95e-05	  2.883	  0.923	 2.2
L10	r001	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.05	25	7	2.92e-05	  4.534	  0.822	 1.9
L10	r002	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.07	25	7	2.13e-05	  6.183	  0.780	 1.9
L10	r003	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.09	25	7	1.06e-05	  8.660	  0.926	 1.9
L11	r000	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.03	25	7	3.36e-05	  2.989	  0.993	 1.9
L11	r001	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.05	25	6	3.20e-05	  4.359	  0.760	 1.7
L11	r002	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.07	25	7	3.51e-05	  5.873	  0.704	 1.9
L11	r003	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.09	25	8	3.96e-05	  8.004	  0.791	 2.1
L12	r000	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.03	25	3	1.48e-05	  2.711	  0.817	 1.0
L12	r001	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.05	25	6	1.53e-05	  2.415	  0.233	 1.7
L12	r002	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.07	25	7	2.95e-05	  6.400	  0.836	 2.0
L12	r003	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.09	25	8	3.70e-05	  8.761	  0.948	 2.2
L13	r000	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.03	25	3	1.61e-05	  2.900	  0.934	 1.0
L13	r001	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.05	25	5	1.30e-05	  3.342	  0.447	 1.5
L13	r002	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.07	25	6	1.50e-05	  6.378	  0.830	 1.7
L13	r003	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.09	25	7	1.68e-05	  8.222	  0.835	 2.0
L14	r000	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.03	25	5	1.20e-05	  2.820	  0.884	 1.5
L14	r001	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.05	25	11	1.85e-05	  4.533	  0.822	 3.0
L14	r002	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.07	25	11	3.09e-05	  6.840	  0.955	 3.0
L14	r003	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.09	25	10	4.01e-05	  8.740	  0.943	 2.7
L16	r000	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.03	25	11	1.43e-05	  9.823	 10.721	 3.1
L16	r001	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.05	25	19	1.56e-05	  4.958	  0.983	 5.0
L16	r002	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.07	25	17	1.06e-05	  6.697	  0.915	 4.5
L16	r003	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.09	25	15	1.52e-05	  8.815	  0.959	 4.0
